handedness,avg,height,weight,name,HR,wn,hn
B,0,70,175,Barry Raziano,0,3,1
B,0,71,175,Lafayette Currence,0,3,1
B,0,72,175,John Bohnet,0,3,1
B,0,73,190,Bert Bradley,0,2,3
B,0,73,185,Randy Scarbery,0,2,3
B,0,73,195,Chuck Hockenbery,0,4,3
B,0,74,180,Ray Chadwick,0,1,6
B,0,74,195,Pete Filson,0,4,6
B,0,74,190,Mark Brown,0,2,6
B,0,74,200,Steve Burke,0,2,6
B,0,74,200,Steve Cummings,0,2,6
B,0,74,193,Nardi Contreras,0,1,6
B,0,75,195,Gary Lance,0,4,3
B,0,75,195,Jeff Schneider,0,4,3
B,0,75,185,Jeff Barkley,0,2,3
B,0.104,72,189,Vida Blue,4,1,1
B,0.11,73,170,Mickey Lolich,0,1,1
B,0.114,78,212,Bob Veale,0,1,1
B,0.125,68,155,Fred Norman,0,1,1
B,0.127,72,170,Joaquin Andujar,5,1,1
B,0.159,72,185,Fritz Peterson,2,1,1
B,0.205,71,160,Buddy Biancalana,6,1,1
B,0.206,73,204,Steve Huntz,16,1,1
B,0.21,71,180,Steve Jeltz,5,1,1
B,0.212,70,175,Rusty Torres,35,1,1
B,0.216,72,185,Joe Lovitto,4,1,1
B,0.217,71,165,Vic Harris,13,1,1
B,0.217,74,188,Darrel Chaney,14,1,1
B,0.219,72,160,Al Weis,7,1,1
B,0.227,69,150,Larry Lintz,0,1,1
B,0.227,72,195,Chris Bando,27,1,1
B,0.228,71,170,Tim Blackwell,6,1,1
B,0.229,72,190,Bob Didier,0,1,1
B,0.229,73,195,Dave McKay,21,1,1
B,0.229,74,183,Gene Michael,15,1,1
B,0.23,74,185,Billy Smith,17,1,1
B,0.231,72,165,Roger Metzger,5,1,2
B,0.231,72,175,Ted Kubiak,13,1,2
B,0.232,74,190,Buck Rodgers,31,1,1
B,0.233,72,175,Paul Popovich,14,1,1
B,0.234,73,190,Bill Sudakis,59,1,2
B,0.234,73,200,Rick Sweet,6,1,2
B,0.236,71,160,Bud Harrelson,7,2,1
B,0.236,72,180,Paul Householder,29,1,2
B,0.236,72,160,Rodney Scott,3,2,2
B,0.236,73,175,Bob Meacham,8,1,1
B,0.237,69,165,Julio Cruz,23,3,1
B,0.237,70,165,Rafael Landestoy,4,3,1
B,0.237,72,165,Jimmy Stewart,8,3,1
B,0.238,72,180,Ron Roenicke,17,1,1
B,0.24,72,169,Chico Ruiz,2,1,1
B,0.24,73,170,Mike Ramsey,2,1,1
B,0.241,69,160,Wayne Tolleson,9,1,1
B,0.242,69,160,Manny Castillo,3,1,1
B,0.243,72,170,Marty Martinez,0,1,1
B,0.244,71,180,Joe Wallis,16,1,1
B,0.245,69,140,Sandy Alomar,13,1,1
B,0.245,70,160,Bryan Little,3,1,1
B,0.245,71,180,George Wright,42,2,1
B,0.245,73,180,Tom Tresh,153,2,1
B,0.245,74,190,Bobby Brown,26,1,2
B,0.245,74,185,Alan Ashby,90,1,2
B,0.247,74,195,Mike Young,72,1,1
B,0.249,72,160,Derrel Thomas,43,1,2
B,0.249,72,164,Tony Scott,17,1,2
B,0.25,71,180,Bob Stinson,33,1,1
B,0.25,74,170,Wilbur Howard,6,1,1
B,0.251,71,155,Albert Hall,5,1,2
B,0.251,71,175,U L Washington,27,1,2
B,0.251,72,180,Jim Lefebvre,74,1,1
B,0.252,73,170,Don Kessinger,14,1,1
B,0.253,70,164,Jerry White,21,1,1
B,0.254,72,161,Larry Milbourne,11,1,1
B,0.255,72,173,Wallace Johnson,5,1,1
B,0.255,73,190,Butch Wynegar,65,1,1
B,0.256,69,170,Horace Clarke,27,1,1
B,0.257,70,169,Len Randle,27,1,2
B,0.257,70,175,Biff Pocoroba,21,1,2
B,0.257,73,185,Roy Smalley,163,1,1
B,0.257,74,180,Ken Henderson,122,1,1
B,0.258,70,170,Jerry Hairston,30,1,1
B,0.259,73,180,Lee Mazzilli,93,1,1
B,0.259,74,160,Alan Wiggins,5,1,1
B,0.26,70,155,Larry Bowa,15,1,1
B,0.261,71,185,Billy North,20,1,1
B,0.263,73,180,Richie Scheinblum,13,1,1
B,0.264,67,160,Don Buford,93,1,1
B,0.265,72,160,Miguel Dilone,6,1,1
B,0.265,74,185,Ron Oester,42,1,1
B,0.266,69,172,Bump Wills,36,1,1
B,0.267,72,190,R.J. Reynolds,35,1,1
B,0.267,73,180,Wes Parker,64,1,1
B,0.268,71,175,Tito Fuentes,45,1,1
B,0.271,70,160,Roy White,160,1,1
B,0.272,71,175,Dave Collins,32,1,1
B,0.274,72,184,Darrell Brown,1,1,2
B,0.274,72,185,Steve Ontiveros,24,1,2
B,0.277,69,170,Rick Peters,2,1,1
B,0.282,76,210,Ken Singleton,246,1,1
B,0.285,71,193,Ted Simmons,248,1,1
B,0.287,72,180,Reggie Smith,314,1,1
B,0.289,74,185,Jerry Mumphrey,70,1,1
B,0.29,71,170,Johnny Ray,53,1,1
B,0.303,71,192,Pete Rose,160,1,1
L,0,69,170,Israel Sanchez,0,1,2
L,0,69,165,Angel Moreno,0,2,2
L,0,70,165,Brian Dubois,0,2,2
L,0,70,160,Narciso Elvira,0,2,2
L,0,71,185,Joe Pactwa,0,8,3
L,0,71,175,Len Whitehouse,0,7,3
L,0,71,175,Jim Campbell,0,7,3
L,0,72,190,Kevin Stanfield,0,4,7
L,0,72,195,Ralph Botting,0,7,7
L,0,72,185,Joel McKeon,0,8,7
L,0,72,183,Jerry Augustine,0,1,7
L,0,72,180,Mark Souza,0,4,7
L,0,72,175,Pat Underwood,0,7,7
L,0,72,180,Bruce Ellingsen,0,4,7
L,0,73,185,Mike Kinnunen,0,8,10
L,0,73,200,Dan Morogiello,0,6,10
L,0,73,185,John LaRose,0,8,10
L,0,73,160,Tony Ferreira,0,2,10
L,0,73,205,Bob Galasso,0,7,10
L,0,73,185,Dave Stapleton,0,8,10
L,0,73,175,Jerry Kutzler,0,7,10
L,0,73,185,Randy Wiles,0,8,10
L,0,73,195,Steve Davis,0,7,10
L,0,73,190,Bruce Robbins,0,4,10
L,0,74,195,Kevin Bearse,0,7,9
L,0,74,192,Ed Hodge,0,2,9
L,0,74,175,Luis Quintana,0,7,9
L,0,74,195,Reggie Ritter,0,7,9
L,0,74,195,Mike Pazik,0,7,9
